Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Hour,Day of week,Trip Completed
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,11-07-2016,11,Monday,TRUE
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,11-07-2016,17,Monday,TRUE
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,12-07-2016,9,Tuesday,TRUE
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,12-07-2016,21,Tuesday,TRUE
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,13-07-2016,8,Wednesday,TRUE
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,13-07-2016,21,Wednesday,TRUE
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,14-07-2016,6,Thursday,TRUE
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,15-07-2016,5,Friday,TRUE
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,15-07-2016,17,Friday,TRUE
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,11-07-2016,6,Monday,TRUE
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,12-07-2016,5,Tuesday,TRUE
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,12-07-2016,12,Tuesday,TRUE
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,13-07-2016,4,Wednesday,TRUE
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,13-07-2016,8,Wednesday,TRUE
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,13-07-2016,14,Wednesday,TRUE
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,13-07-2016,17,Wednesday,TRUE
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,14-07-2016,12,Thursday,TRUE
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,14-07-2016,22,Thursday,TRUE
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,11-07-2016,10,Monday,TRUE
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,11-07-2016,18,Monday,TRUE
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,12-07-2016,11,Tuesday,TRUE
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,12-07-2016,15,Tuesday,TRUE
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,12-07-2016,18,Tuesday,TRUE
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,13-07-2016,8,Wednesday,TRUE
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,13-07-2016,21,Wednesday,TRUE
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,14-07-2016,21,Thursday,TRUE
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,15-07-2016,2,Friday,TRUE
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,15-07-2016,10,Friday,TRUE
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,11-07-2016,13,Monday,TRUE
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,12-07-2016,6,Tuesday,TRUE
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,12-07-2016,9,Tuesday,TRUE
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,12-07-2016,16,Tuesday,TRUE
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,13-07-2016,5,Wednesday,TRUE
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,13-07-2016,19,Wednesday,TRUE
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,14-07-2016,2,Thursday,TRUE
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,14-07-2016,13,Thursday,TRUE
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,15-07-2016,8,Friday,TRUE
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,15-07-2016,15,Friday,TRUE
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,11-07-2016,7,Monday,TRUE
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,11-07-2016,11,Monday,TRUE
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,11-07-2016,20,Monday,TRUE
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,12-07-2016,8,Tuesday,TRUE
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,12-07-2016,14,Tuesday,TRUE
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,12-07-2016,21,Tuesday,TRUE
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,13-07-2016,7,Wednesday,TRUE
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,13-07-2016,12,Wednesday,TRUE
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,14-07-2016,6,Thursday,TRUE
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,15-07-2016,9,Friday,TRUE
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,15-07-2016,22,Friday,TRUE
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,12-07-2016,5,Tuesday,TRUE
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,12-07-2016,13,Tuesday,TRUE
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,13-07-2016,6,Wednesday,TRUE
